stack_id,event_start,event_end,n_rows,n_treated_pois,n_control_pois,max_control_pois,target,test
1,0,12,102423,189,10000,10000,broad,pretrend_placebo
2,-1,12,116756,981,10000,10000,broad,pretrend_placebo
3,-2,12,117821,442,10000,10000,broad,pretrend_placebo
4,-3,12,124255,524,10000,10000,broad,pretrend_placebo
5,-4,12,129214,385,10000,10000,broad,pretrend_placebo
6,-5,12,132484,188,10000,10000,broad,pretrend_placebo
7,-6,12,144644,565,10000,10000,broad,pretrend_placebo
8,-6,12,144502,629,10000,10000,broad,pretrend_placebo
9,-6,12,150747,1033,10000,10000,broad,pretrend_placebo
10,-6,12,143479,565,10000,10000,broad,pretrend_placebo
11,-6,12,146651,844,10000,10000,broad,pretrend_placebo
12,-6,12,142241,690,10000,10000,broad,pretrend_placebo
14,-6,12,148605,1264,10000,10000,broad,pretrend_placebo
15,-6,12,141351,743,10000,10000,broad,pretrend_placebo
16,-6,12,144334,1070,10000,10000,broad,pretrend_placebo
17,-6,12,148384,1299,10000,10000,broad,pretrend_placebo
18,-6,12,147558,1300,10000,10000,broad,pretrend_placebo
19,-6,12,140629,789,10000,10000,broad,pretrend_placebo
20,-6,12,140288,732,10000,10000,broad,pretrend_placebo
21,-6,12,138936,794,10000,10000,broad,pretrend_placebo
22,-6,12,151972,1601,10000,10000,broad,pretrend_placebo
23,-6,12,140933,848,10000,10000,broad,pretrend_placebo
24,-6,12,138284,910,10000,10000,broad,pretrend_placebo
25,-6,12,129339,429,10000,10000,broad,pretrend_placebo
26,-6,12,134782,836,10000,10000,broad,pretrend_placebo
27,-6,12,133779,1001,10000,10000,broad,pretrend_placebo
28,-6,12,133840,916,10000,10000,broad,pretrend_placebo
29,-6,12,146554,1976,10000,10000,broad,pretrend_placebo
30,-6,12,129922,1195,10000,10000,broad,pretrend_placebo
31,-6,12,128262,979,10000,10000,broad,pretrend_placebo
32,-6,12,127022,925,10000,10000,broad,pretrend_placebo
33,-6,12,129878,1198,10000,10000,broad,pretrend_placebo
34,-6,12,127345,994,10000,10000,broad,pretrend_placebo
35,-6,12,122928,506,10000,10000,broad,pretrend_placebo
36,-6,12,124183,615,10000,10000,broad,pretrend_placebo
37,-6,12,121619,569,10000,10000,broad,pretrend_placebo
38,-6,12,122961,572,10000,10000,broad,pretrend_placebo
